Description,Qty,Unit,Total
42x54 Double Hung Window,1, $1480, $1480
30x54 Double Hung Window,2, $1290, $2580
26x54 Double Hung Window,2, $1270, $2540
30x54 Double Hung Window,2, $1290, $2580
30x36 Double Hung Window,1, $1150, $1150
14x18 Casement Window,1, $460, $460
48x42 Double Casement Window,1, $1520, $1520
24x42 Double Hung Window,1, $1120, $1120
30x48 Double Hung Window,2, $1240, $2480
30x48 Double Hung Window,2, $1240, $2480
24x36 Double Hung Window,1, $1100, $1100
Wood: Douglas Fir
Glass: Dual Pane
Installation Included
Disposal and removal of old windows
"Coat of Primer, Interior and Exterior"
,,Subtotal:, $19490
,,Total Tax:, $629
,,Total Cost:, $20119
