Description,Qty,Area of Glass, Glass Cost, Sash Perimeter, Wood Cost,Installation Cost,Sash + Installation, Unit Tax, Total Tax, Total Cost - Tax
42x54 Double Hung Window,1,13.46 SqFt,$268 ,24ft,$600 ,$600 ,"$1,480 ",$51.00 ,$51.00 ,"$1,480 "
30x54 Double Hung Window,2,9.21 SqFt,$183 ,20ft,$500 ,$600 ,"$1,290 ",$42.50 ,$85.00 ,"$2,580 "
26x54 Double Hung Window,2,7.79 SqFt,$155 ,20ft,$500 ,$600 ,"$1,270 ",$42.50 ,$85.00 ,"$2,540 "
30x54 Double Hung Window,2,9.21 SqFt,$183 ,20ft,$500 ,$600 ,"$1,290 ",$42.50 ,$85.00 ,"$2,580 "
30x36 Double Hung Window,1,6.25 SqFt,$125 ,17ft,$425 ,$600 ,"$1,150 ",$36.12 ,$36.12 ,"$1,150 "
14x18 Casement Window,1,3.00 SqFt,$60 ,6ft,$150 ,$250 ,$460 ,$12.75 ,$12.75 ,$460 
48x42 Double Casement Window,1,10.83 SqFt,$216 ,22ft,$550 ,$750 ,"$1,520 ",$46.75 ,$46.75 ,"$1,520 "
24x42 Double Hung Window,1,6.00 SqFt,$120 ,16ft,$400 ,$600 ,"$1,120 ",$34.00 ,$34.00 ,"$1,120 "
30x48 Double Hung Window,2,8.12 SqFt,$161 ,19ft,$475 ,$600 ,"$1,240 ",$40.38 ,$80.75 ,"$2,480 "
30x48 Double Hung Window,2,8.12 SqFt,$161 ,19ft,$475 ,$600 ,"$1,240 ",$40.38 ,$80.75 ,"$2,480 "
24x36 Double Hung Window,1,6.00 SqFt,$120 ,15ft,$375 ,$600 ,"$1,100 ",$31.88 ,$31.88 ,"$1,100 "
 , , , , , , , , Total:,$629.00 ,"$19,491 "
 , , , , , , , , Total:,"$20,119.00 ",
